"Format","MoTeC CSV File",,,"Workbook","GPS"
"Venue","AutoX_FSA2015",,,"Worksheet","Worksheet (1)"
"Vehicle","GFR15e",,,"Vehicle Desc",""
"Driver","Tim Fritz",,,"Engine ID",""
"Device","ADL"
"Comment","AutoX",,,"Session",""
"Log Date","12.08.2015",,,"Origin Time","0,000","s"
"Log Time","19:23:36",,,"Start Time","0,000","s"
"Sample Rate","25,000","Hz",,"End Time","268,000","s"
"Duration","268,000","s",,"Start Distance","0","m"
"Range","No Lap (selection)",,,"End Distance","2073","m"


"Time","Giga DrivenDistance [m]","Giga VehicleSpeed [km/h]"
"s","m","km/h"


0,0,78.73677621
0.01,0.218888889,78.8
0.02,0.438697183,79.13098592
0.03,0.660086072,79.7
0.04,0.881679273,79.77355243
0.05,1.103623718,79.9
0.06,1.325568162,79.9
0.07,1.547512607,79.9
0.08,1.770172144,80.15743349
0.09,1.994061033,80.6
0.1,2.21825639,80.71032864
0.11,2.442978612,80.9
0.12,2.667802991,80.93677621
0.13,2.892802991,81
0.14,3.11862024,81.2942097
0.15,3.345842462,81.8
0.16,3.573575465,81.98388106
0.17,3.802186576,82.3
0.18,4.030695531,82.26322379
0.19,4.259028865,82.2
0.2,4.487770822,82.34710485
0.21,4.717215267,82.6
0.22,4.947272648,82.82065728
0.23,5.178383759,83.2
0.24,5.409699183,83.27355243
0.25,5.641365849,83.4
0.26,5.873032516,83.4
0.27,6.104699183,83.4
0.28,6.337285255,83.73098592
0.29,6.571451921,84.3
0.3,6.805720744,84.33677621
0.31,7.040165189,84.4
0.32,7.275018258,84.54710485
0.33,7.510573813,84.8
0.34,7.746129369,84.8
0.35,7.982093549,84.94710485
0.36,8.218760216,85.2
0.37,8.455426882,85.2
0.38,8.692502174,85.34710485
0.39,8.930279951,85.6
0.4,9.168057729,85.6
0.41,9.406652756,85.8942097
0.42,9.646652756,86.4
0.43,9.886754912,86.43677621
0.44,10.12703269,86.5
0.45,10.36741262,86.53677621
0.46,10.60796818,86.6
0.47,10.84944314,86.93098592
0.48,11.0924987,87.5
0.49,11.33565641,87.53677621
0.5,11.57898974,87.6
0.51,11.82262954,87.71032864
0.52,12.06679621,87.9
0.53,12.31147366,88.08388106
0.54,12.55702921,88.4
0.55,12.80258477,88.4
0.56,13.04814032,88.4
0.57,13.2948196,88.80453834
0.58,13.54343071,89.5
0.59,13.79214397,89.53677621
0.6,14.04103286,89.6
0.61,14.2898196,89.56322379
0.62,14.53843071,89.5
0.63,14.78796122,89.83098592
0.64,15.03907234,90.4
0.65,15.2902856,90.43677621
0.66,15.54167449,90.5
0.67,15.79316554,90.53677621
0.68,16.0448322,90.6
0.69,16.29741828,90.93098592
0.7,16.55158494,91.5
0.71,16.80544514,91.38967136
0.72,17.05877847,91.2
0.73,17.31180534,91.08967136
0.74,17.56430534,90.9
0.75,17.81711181,91.01032864
0.76,18.07044514,91.2
0.77,18.32306338,90.94256651
0.78,18.57445227,90.5
0.79,18.82614763,90.61032864
0.8,19.07836985,90.8
0.81,19.33018345,90.65289515
0.82,19.58129456,90.4
0.83,19.8304647,89.70125196
0.84,20.07629804,88.5
0.85,20.32223352,88.53677621
0.86,20.56834464,88.6
0.87,20.81374065,88.34256651
0.88,21.05790732,87.9
0.89,21.30135889,87.64256651
0.9,21.54358112,87.2
0.91,21.78559903,87.12644757
0.92,22.02726569,87
0.93,22.26831942,86.77934272
0.94,22.50831942,86.4
0.95,22.74709355,85.95868545
0.96,22.98376022,85.2
0.97,23.22012041,85.08967136
0.98,23.45595375,84.9
0.99,23.69117414,84.67934272
1,23.92534081,84.3
1.01,24.15838376,83.89546166
1.02,24.38949487,83.2
1.03,24.62060598,83.2
1.04,24.85171709,83.2
1.05,25.0828282,83.2
1.06,25.31353069,83.05289515
1.07,25.54353069,82.8
1.08,25.77230482,82.35868545
1.09,25.99897148,81.6
1.1,26.22502521,81.37934272
1.11,26.45002521,81
1.12,26.67461659,80.85289515
1.13,26.89850548,80.6
1.14,27.12147496,80.26901408
1.15,27.34286385,79.7
1.16,27.56343549,79.4057903
1.17,27.78260216,78.9
1.18,28.00064511,78.49546166
1.19,28.21675622,77.8
1.2,28.43184577,77.43223787
1.21,28.6451791,76.8
1.22,28.85769518,76.5057903
1.23,29.06880629,76
1.24,29.27950878,75.85289515
1.25,29.48950878,75.6
1.26,29.69879369,75.34256651
1.27,29.90684924,74.9
1.28,30.11337246,74.34835681
1.29,30.31726135,73.4
