"Format","MoTeC CSV File",,,"Workbook","GPS"
"Venue","Spielberg Autocross",,,"Worksheet","Worksheet (1)"
"Vehicle","GFR16e",,,"Vehicle Desc",""
"Driver","Rainer Pfeffer",,,"Engine ID",""
"Device","ADL"
"Comment","Autocross",,,"Session","2016"
"Log Date","03.08.2016",,,"Origin Time","0,000","s"
"Log Time","16:48:24",,,"Start Time","0,020","s"
"Sample Rate","20,000","Hz",,"End Time","2141,970","s"
"Duration","2141,950","s",,"Start Distance","0","m"
"Range","No Lap (selection)",,,"End Distance","2365","m"


"Time","GPS Latitude","GPS Longitude","GPS Altitude","GPS Sats Used"
"s","deg","deg","m",""


"0,000","47,2205416","14,7613083","692,8","9"
"0,050","47,2205416","14,7613083","692,8","9"
"0,100","47,2205416","14,7613083","692,8","9"
"0,150","47,2205416","14,7613083","692,8","9"
"0,200","47,2205416","14,7613083","692,8","9"
"0,250","47,2205416","14,7613083","692,8","9"
"0,300","47,2205416","14,7613083","692,8","9"
"0,350","47,2205416","14,7613083","692,8","9"
"0,400","47,2205416","14,7613083","692,8","9"
"0,450","47,2205416","14,7613083","692,8","9"
"0,500","47,2205416","14,7613083","692,8","9"
"0,550","47,2205416","14,7613083","692,8","9"
"0,600","47,2205416","14,7613083","692,8","9"
"0,650","47,2205416","14,7613083","692,8","9"
"0,700","47,2205416","14,7613083","692,8","9"
"0,750","47,2205416","14,7613083","692,8","9"
"0,800","47,2205416","14,7613083","692,8","9"
"0,850","47,2205416","14,7613083","692,8","9"
"0,900","47,2205416","14,7613083","692,8","9"
"0,950","47,2205416","14,7613083","692,8","9"
"1,000","47,2205416","14,7613083","692,8","9"
"1,050","47,2205416","14,7613083","692,8","9"
"1,100","47,2205416","14,7613083","692,8","9"
"1,150","47,2205416","14,7613083","692,8","9"
"1,200","47,2205416","14,7613083","692,8","9"
"1,250","47,2205416","14,7613083","692,8","9"
"1,300","47,2205416","14,7613083","692,8","9"
"1,350","47,2205416","14,7613083","692,8","9"
"1,400","47,2205416","14,7613083","692,8","9"
"1,450","47,2205416","14,7613083","692,8","9"
"1,500","47,2205416","14,7613083","692,8","9"
"1,550","47,2205416","14,7613083","692,8","9"
"1,600","47,2205416","14,7613083","692,8","9"
"1,650","47,2205416","14,7613083","692,8","9"
"1,700","47,2205416","14,7613083","692,8","9"
"1,750","47,2205416","14,7613083","692,8","9"
"1,800","47,2205416","14,7613083","692,8","9"
"1,850","47,2205416","14,7613083","692,8","9"
"1,900","47,2205416","14,7613083","692,8","9"
"1,950","47,2205416","14,7613083","692,8","9"
"2,000","47,2205416","14,7613083","692,8","9"
"2,050","47,2205416","14,7613083","692,8","9"
"2,100","47,2205416","14,7613083","692,8","9"
"2,150","47,2205416","14,7613083","692,8","9"
