"Format","MoTeC CSV File",,,"Workbook","GPS"
"Venue","AutoX_FSG2015",,,"Worksheet","Worksheet (1)"
"Vehicle","GFR15e",,,"Vehicle Desc",""
"Driver","Simon Wickenh�user",,,"Engine ID",""
"Device","ADL"
"Comment","AutoX",,,"Session",""
"Log Date","01.08.2015",,,"Origin Time","0,000","s"
"Log Time","16:56:00",,,"Start Time","0,020","s"
"Sample Rate","20,000","Hz",,"End Time","456,970","s"
"Duration","456,950","s",,"Start Distance","0","m"
"Range","No Lap (selection)",,,"End Distance","2517","m"


"Time","GPS Latitude","GPS Longitude","GPS Altitude","GPS Sats Used"
"s","deg","deg","m",""


"0,000","49,3299133","8,5641272","100,7","8"
"0,050","49,3299133","8,5641266","100,7","8"
"0,100","49,3299142","8,5641266","100,7","8"
"0,150","49,3299150","8,5641266","100,7","8"
"0,200","49,3299150","8,5641258","100,7","8"
"0,250","49,3299150","8,5641250","100,7","8"
"0,300","49,3299150","8,5641241","100,7","8"
"0,350","49,3299150","8,5641233","100,7","8"
"0,400","49,3299150","8,5641233","100,7","8"
"0,450","49,3299150","8,5641233","100,7","8"
"0,500","49,3299150","8,5641224","100,7","8"
"0,550","49,3299150","8,5641216","100,7","8"
"0,600","49,3299150","8,5641216","100,7","8"
"0,650","49,3299150","8,5641216","100,7","8"
"0,700","49,3299150","8,5641208","100,8","8"
"0,750","49,3299150","8,5641200","100,8","8"
"0,800","49,3299150","8,5641191","100,8","8"
"0,850","49,3299150","8,5641183","100,8","8"
"0,900","49,3299150","8,5641183","100,8","8"
"0,950","49,3299150","8,5641183","100,8","8"
"1,000","49,3299158","8,5641183","100,8","8"
"1,050","49,3299166","8,5641183","100,8","8"
"1,100","49,3299166","8,5641174","100,9","8"
"1,150","49,3299166","8,5641166","100,9","8"
"1,200","49,3299166","8,5641166","100,9","8"
"1,250","49,3299166","8,5641166","100,9","8"
"1,300","49,3299166","8,5641166","100,9","8"
"1,350","49,3299166","8,5641166","100,9","8"
"1,400","49,3299174","8,5641166","100,9","8"
"1,450","49,3299183","8,5641166","100,9","8"
"1,500","49,3299183","8,5641166","101,0","8"
"1,550","49,3299183","8,5641166","101,0","8"
"1,600","49,3299183","8,5641158","101,0","8"
"1,650","49,3299183","8,5641150","101,0","8"
"1,700","49,3299183","8,5641150","101,0","8"
"1,750","49,3299183","8,5641150","101,0","8"
"1,800","49,3299183","8,5641150","101,0","8"
"1,850","49,3299183","8,5641150","101,0","8"
"1,900","49,3299183","8,5641150","101,0","8"
"1,950","49,3299183","8,5641150","101,0","8"
"2,000","49,3299183","8,5641150","101,0","8"
"2,050","49,3299183","8,5641150","101,0","8"
"2,100","49,3299183","8,5641141","101,0","8"
"2,150","49,3299183","8,5641133","101,0","8"
"2,200","49,3299183","8,5641133","101,0","8"
