"Format","MoTeC CSV File",,,"Workbook","GPS"
"Venue","Auto X",,,"Worksheet","Worksheet (1)"
"Vehicle","GFR16e",,,"Vehicle Desc",""
"Driver","Rainer Pfeffer",,,"Engine ID",""
"Device","ADL"
"Comment","",,,"Session","AutoX"
"Log Date","13.08.2016",,,"Origin Time","0,000","s"
"Log Time","17:28:09",,,"Start Time","0,020","s"
"Sample Rate","20,000","Hz",,"End Time","238,970","s"
"Duration","238,950","s",,"Start Distance","0","m"
"Range","No Lap (selection)",,,"End Distance","2525","m"


"Time","GPS Latitude","GPS Longitude","GPS Altitude","GPS Sats Used"
"s","deg","deg","m",""


"0,000","49,3299000","8,5641883","93,0","10"
"0,050","49,3299000","8,5641883","93,0","10"
"0,100","49,3299000","8,5641883","93,0","10"
"0,150","49,3299000","8,5641883","93,0","10"
"0,200","49,3299000","8,5641883","93,0","10"
"0,250","49,3299000","8,5641883","93,0","10"
"0,300","49,3299000","8,5641883","93,0","10"
"0,350","49,3299000","8,5641883","93,0","10"
"0,400","49,3299000","8,5641883","93,1","10"
"0,450","49,3299000","8,5641883","93,1","10"
"0,500","49,3299000","8,5641883","93,1","10"
"0,550","49,3299000","8,5641883","93,1","10"
"0,600","49,3299000","8,5641883","93,1","10"
"0,650","49,3299000","8,5641883","93,1","10"
"0,700","49,3299000","8,5641883","93,1","10"
"0,750","49,3299000","8,5641883","93,1","10"
"0,800","49,3299000","8,5641883","93,1","10"
"0,850","49,3299000","8,5641883","93,1","10"
"0,900","49,3299000","8,5641883","93,1","10"
"0,950","49,3299000","8,5641883","93,1","10"
"1,000","49,3299000","8,5641883","93,1","10"
"1,050","49,3299000","8,5641883","93,1","10"
"1,100","49,3299000","8,5641883","93,1","10"
"1,150","49,3299000","8,5641883","93,1","10"
"1,200","49,3299000","8,5641883","93,1","10"
"1,250","49,3299000","8,5641883","93,1","10"
"1,300","49,3299000","8,5641883","93,1","10"
"1,350","49,3299000","8,5641883","93,1","10"
"1,400","49,3299000","8,5641883","93,1","10"
"1,450","49,3299000","8,5641883","93,1","10"
"1,500","49,3299000","8,5641883","93,1","10"
"1,550","49,3299000","8,5641883","93,1","10"
"1,600","49,3299000","8,5641883","93,1","10"
"1,650","49,3299000","8,5641883","93,1","10"
"1,700","49,3299000","8,5641883","93,1","10"
"1,750","49,3299000","8,5641883","93,1","10"
"1,800","49,3299000","8,5641883","93,1","10"
"1,850","49,3299000","8,5641883","93,1","10"
"1,900","49,3299000","8,5641883","93,1","10"
"1,950","49,3299000","8,5641883","93,1","10"
"2,000","49,3299000","8,5641883","93,1","10"
"2,050","49,3299000","8,5641883","93,1","10"
"2,100","49,3299000","8,5641883","93,1","10"
"2,150","49,3299000","8,5641883","93,1","10"
"2,200","49,3299000","8,5641883","93,1","10"
