"Format","MoTeC CSV File",,,"Workbook","GPS"
"Venue","AutoX_FSA2015",,,"Worksheet","Worksheet (1)"
"Vehicle","GFR15e",,,"Vehicle Desc",""
"Driver","Tim Fritz",,,"Engine ID",""
"Device","ADL"
"Comment","AutoX",,,"Session",""
"Log Date","12.08.2015",,,"Origin Time","0,000","s"
"Log Time","19:23:36",,,"Start Time","0,000","s"
"Sample Rate","25,000","Hz",,"End Time","268,000","s"
"Duration","268,000","s",,"Start Distance","0","m"
"Range","No Lap (selection)",,,"End Distance","2073","m"


"Time","Giga DrivenDistance [m]","Giga VehicleSpeed [km/h]"
"s","m","km/h"


"77,120","0","0,0"
"77,160","0","0,3"
"77,200","0","0,7"
"77,240","0","0,7"
"77,280","0","0,7"
"77,320","0","1,0"
"77,360","0","1,1"
"77,400","0","1,1"
"77,440","0","1,2"
"77,480","0","1,4"
"77,520","0","1,4"
"77,560","0","1,6"
"77,600","0","1,7"
"77,640","0","1,8"
"77,680","0","1,9"
"77,720","0","1,9"
"77,760","0","2,1"
"77,800","0","2,2"
"77,840","0","2,3"
"77,880","0","2,3"
"77,920","0","2,4"
"77,960","0","2,4"
"78,000","0","2,5"
"78,040","0","2,6"
"78,080","0","2,6"
"78,120","0","2,7"
"78,160","1","2,8"
"78,200","1","2,8"
"78,240","1","2,9"
"78,280","1","2,9"
"78,320","1","3,0"
"78,360","1","3,0"
"78,400","1","3,0"
"78,440","1","3,0"
"78,480","1","3,0"
"78,520","1","3,0"
"78,560","1","3,0"
"78,600","1","3,0"
"78,640","1","3,1"
"78,680","1","3,1"
"78,720","1","3,1"
"78,760","1","3,1"
"78,800","1","3,1"
"78,840","1","3,1"
"78,880","1","3,1"
"78,920","1","3,1"
"78,960","1","3,1"
"79,000","1","3,1"
"79,040","1","3,2"
"79,080","1","3,2"
"79,120","1","3,2"
"79,160","1","3,2"
"79,200","1","3,3"
"79,240","1","3,3"
"79,280","1","3,3"
"79,320","1","3,3"
"79,360","2","3,3"
"79,400","2","3,4"
"79,440","2","3,4"
"79,480","2","3,4"
"79,520","2","3,4"
"79,560","2","3,4"
"79,600","2","3,5"
"79,640","2","3,5"
"79,680","2","3,5"
"79,720","2","3,5"
"79,760","2","3,5"
"79,800","2","3,5"
"79,840","2","3,5"
"79,880","2","3,5"
"79,920","2","3,5"
"79,960","2","3,5"
"80,000","2","3,5"
"80,040","2","3,5"
"80,080","2","3,4"
"80,120","2","3,4"
"80,160","2","3,4"
"80,200","2","3,4"
"80,240","2","3,4"
"80,280","2","3,3"
"80,320","2","3,3"
"80,360","2","3,2"
"80,400","2","3,1"
"80,440","2","3,1"
"80,480","3","3,0"
"80,520","3","3,0"
"80,560","3","3,0"
"80,600","3","3,0"
"80,640","3","2,9"
"80,680","3","2,9"
"80,720","3","2,9"
"80,760","3","2,8"
"80,800","3","2,8"
"80,840","3","2,7"
"80,880","3","2,7"
"80,920","3","2,6"
"80,960","3","2,6"
"81,000","3","2,6"
"81,040","3","2,6"
"81,080","3","2,5"
"81,120","3","2,5"
"81,160","3","2,5"
"81,200","3","2,4"
"81,240","3","2,3"
"81,280","3","2,3"
"81,320","3","2,3"
"81,360","3","2,3"
"81,400","3","2,2"
"81,440","3","2,2"
"81,480","3","2,1"
"81,520","3","2,1"
"81,560","3","2,1"
"81,600","3","2,1"
"81,640","3","2,1"
"81,680","3","2,0"
"81,720","3","2,0"
"81,760","3","2,0"
"81,800","3","2,0"
"81,840","3","2,0"
"81,880","3","2,0"
"81,920","3","2,0"
"81,960","4","2,0"
"82,000","4","2,0"
"82,040","4","2,0"
"82,080","4","2,0"
"82,120","4","1,9"
"82,160","4","1,9"
"82,200","4","1,9"
"82,240","4","1,9"
"82,280","4","1,8"
"82,320","4","1,8"
"82,360","4","1,8"
"82,400","4","1,8"
"82,440","4","1,8"
"82,480","4","1,8"
"82,520","4","1,8"
"82,560","4","1,8"
"82,600","4","1,8"
"82,640","4","1,8"
"82,680","4","1,8"
"82,720","4","1,8"
"82,760","4","1,8"
"82,800","4","1,8"
"82,840","4","1,8"
"82,880","4","1,8"
"82,920","4","1,8"
"82,960","4","1,8"
"83,000","4","1,8"
"83,040","4","1,8"
"83,080","4","1,8"
"83,120","4","1,8"
"83,160","4","1,8"
"83,200","4","1,8"
"83,240","4","1,8"
"83,280","4","1,8"
"83,320","4","1,8"
"83,360","4","1,8"
"83,400","4","1,8"
"83,440","4","2,0"
"83,480","4","2,0"
