"Format","MoTeC CSV File",,,"Workbook","GPS"
"Venue","Airfield Leipheim",,,"Worksheet","Export"
"Vehicle","GFR15e",,,"Vehicle Desc",""
"Driver","Simon Wickenh�user",,,"Engine ID",""
"Device","ADL"
"Comment","",,,"Session",""
"Log Date","12.07.2015",,,"Origin Time","0,000","s"
"Log Time","10:34:19",,,"Start Time","0,020","s"
"Sample Rate","25,000","Hz",,"End Time","1286,970","s"
"Duration","1286,950","s",,"Start Distance","0","m"
"Range","No Lap (selection)",,,"End Distance","12131","m"


"Time","GPS Latitude","GPS Longitude","GPS Altitude","GPS Sats Used"
"s","deg","deg","m",""


"0,000","48,4362166","10,2222233","475,4","9"
"0,040","48,4362166","10,2222233","475,4","9"
"0,080","48,4362166","10,2222233","475,4","9"
"0,120","48,4362166","10,2222233","475,4","9"
"0,160","48,4362166","10,2222233","475,4","9"
"0,200","48,4362166","10,2222233","475,4","9"
"0,240","48,4362166","10,2222233","475,4","9"
"0,280","48,4362166","10,2222233","475,4","9"
"0,320","48,4362163","10,2222233","475,4","9"
"0,360","48,4362156","10,2222233","475,4","9"
"0,400","48,4362150","10,2222233","475,4","9"
"0,440","48,4362150","10,2222226","475,4","9"
"0,480","48,4362150","10,2222219","475,4","9"
"0,520","48,4362150","10,2222216","475,4","9"
"0,560","48,4362150","10,2222216","475,4","9"
"0,600","48,4362150","10,2222216","475,4","9"
"0,640","48,4362150","10,2222216","475,4","9"
"0,680","48,4362150","10,2222216","475,4","9"
"0,720","48,4362150","10,2222213","475,4","9"
"0,760","48,4362150","10,2222206","475,4","9"
"0,800","48,4362150","10,2222200","475,4","9"
"0,840","48,4362150","10,2222200","475,4","9"
"0,880","48,4362150","10,2222200","475,4","9"
"0,920","48,4362150","10,2222200","475,5","9"
"0,960","48,4362150","10,2222200","475,5","9"
"1,000","48,4362150","10,2222200","475,5","9"
"1,040","48,4362150","10,2222200","475,5","9"
"1,080","48,4362150","10,2222200","475,5","9"
"1,120","48,4362150","10,2222200","475,5","9"
"1,160","48,4362150","10,2222200","475,5","9"
"1,200","48,4362150","10,2222200","475,5","9"
"1,240","48,4362150","10,2222193","475,6","9"
"1,280","48,4362150","10,2222186","475,6","9"
"1,320","48,4362153","10,2222183","475,6","9"
"1,360","48,4362160","10,2222183","475,6","9"
"1,400","48,4362166","10,2222183","475,6","9"
"1,440","48,4362166","10,2222183","475,6","9"
"1,480","48,4362166","10,2222183","475,6","9"
"1,520","48,4362166","10,2222183","475,6","9"
"1,560","48,4362166","10,2222183","475,6","9"
"1,600","48,4362166","10,2222183","475,6","9"
"1,640","48,4362166","10,2222183","475,7","9"
"1,680","48,4362166","10,2222183","475,7","9"
"1,720","48,4362166","10,2222183","475,7","9"
"1,760","48,4362166","10,2222183","475,7","9"
