"Format","MoTeC CSV File",,,"Workbook","GPS"
"Venue","Airfield Leipheim",,,"Worksheet","Worksheet (1)"
"Vehicle","GFR15e",,,"Vehicle Desc",""
"Driver","Simon Wickenh�user",,,"Engine ID",""
"Device","ADL"
"Comment","",,,"Session",""
"Log Date","12.07.2015",,,"Origin Time","0,000","s"
"Log Time","10:34:19",,,"Start Time","0,000","s"
"Sample Rate","25,000","Hz",,"End Time","1287,000","s"
"Duration","1287,000","s",,"Start Distance","0","m"
"Range","No Lap (selection)",,,"End Distance","12131","m"


"Time","Giga DrivenDistance [m]","Giga VehicleSpeed [km/h]"
"s","m","km/h"


"0,000","0","0,0"
"0,040","0","0,0"
"0,080","0","0,0"
"0,120","0","0,0"
"0,160","0","0,0"
"0,200","0","0,0"
"0,240","0","0,0"
"0,280","0","0,0"
"0,320","0","0,0"
"0,360","0","0,0"
"0,400","0","0,0"
"0,440","0","0,0"
"0,480","0","0,0"
"0,520","0","0,0"
"0,560","0","0,0"
"0,600","0","0,0"
"0,640","0","0,0"
"0,680","0","0,0"
"0,720","0","0,0"
"0,760","0","0,0"
"0,800","0","0,0"
"0,840","0","0,0"
"0,880","0","0,0"
"0,920","0","0,0"
"0,960","0","0,0"
"1,000","0","0,0"
"1,040","0","0,0"
"1,080","0","0,0"
"1,120","0","0,0"
"1,160","0","0,0"
"1,200","0","0,0"
"1,240","0","0,0"
"1,280","0","0,0"
"1,320","0","0,0"
"1,360","0","0,0"
"1,400","0","0,0"
"1,440","0","0,0"
"1,480","0","0,0"
"1,520","0","0,0"
"1,560","0","0,0"
"1,600","0","0,0"
"1,640","0","0,0"
"1,680","0","0,0"
"1,720","0","0,0"
"1,760","0","0,0"
"1,800","0","0,0"
"1,840","0","0,0"
"1,880","0","0,0"
"1,920","0","0,0"
"1,960","0","0,0"
"2,000","0","0,0"
"2,040","0","0,0"
"2,080","0","0,0"
"2,120","0","0,0"
"2,160","0","0,0"
"2,200","0","0,0"
"2,240","0","0,0"
"2,280","0","0,0"
"2,320","0","0,0"
"2,360","0","0,0"
"2,400","0","0,0"
"2,440","0","0,0"
"2,480","0","0,0"
"2,520","0","0,0"
"2,560","0","0,0"
"2,600","0","0,0"
"2,640","0","0,0"
"2,680","0","0,0"
"2,720","0","0,0"
"2,760","0","0,0"
"2,800","0","0,0"
"2,840","0","0,0"
"2,880","0","0,0"
"2,920","0","0,0"
"2,960","0","0,0"
"3,000","0","0,0"
"3,040","0","0,0"
"3,080","0","0,0"
"3,120","0","0,0"
"3,160","0","0,0"
"3,200","0","0,0"
"3,240","0","0,0"
"3,280","0","0,0"
"3,320","0","0,0"
"3,360","0","0,0"
"3,400","0","0,0"
"3,440","0","0,0"
"3,480","0","0,0"
"3,520","0","0,0"
"3,560","0","0,0"
"3,600","0","0,0"
"3,640","0","0,0"
"3,680","0","0,0"
"3,720","0","0,0"
"3,760","0","0,0"
"3,800","0","0,0"
"3,840","0","0,0"
"3,880","0","0,0"
"3,920","0","0,0"
"3,960","0","0,0"
"4,000","0","0,0"
"4,040","0","0,0"
"4,080","0","0,0"
"4,120","0","0,0"
"4,160","0","0,0"
"4,200","0","0,0"
"4,240","0","0,0"
"4,280","0","0,0"
"4,320","0","0,0"
"4,360","0","0,0"
"4,400","0","0,0"
"4,440","0","0,0"
"4,480","0","0,0"
"4,520","0","0,0"
"4,560","0","0,0"
"4,600","0","0,0"
"4,640","0","0,0"
"4,680","0","0,0"
"4,720","0","0,0"
"4,760","0","0,0"
"4,800","0","0,0"
"4,840","0","0,0"
"4,880","0","0,0"
"4,920","0","0,0"
"4,960","0","0,0"
"5,000","0","0,0"
"5,040","0","0,0"
"5,080","0","0,0"
"5,120","0","0,0"
"5,160","0","0,3"
"5,200","0","0,7"
"5,240","0","0,7"
"5,280","0","0,7"
"5,320","0","0,7"
"5,360","0","0,8"
"5,400","0","1,1"
"5,440","0","1,1"
"5,480","0","1,2"
"5,520","0","1,3"
"5,560","0","1,3"
"5,600","0","1,6"
"5,640","0","1,6"
"5,680","0","2,0"
"5,720","0","2,0"
"5,760","0","2,4"
"5,800","0","2,6"
"5,840","0","2,9"
"5,880","0","3,2"
"5,920","0","3,6"
"5,960","0","3,6"
"6,000","0","4,1"
"6,040","0","4,5"
"6,080","1","4,7"
"6,120","1","5,0"
"6,160","1","5,4"
"6,200","1","5,4"
"6,240","1","5,3"
"6,280","1","5,5"
"6,320","1","5,6"
"6,360","1","5,5"
