"Format","MoTeC CSV File",,,"Workbook","GPS"
"Venue","Endurance_FSA2015",,,"Worksheet","Worksheet (1)"
"Vehicle","GFR15e",,,"Vehicle Desc",""
"Driver","Tim Fritz",,,"Engine ID",""
"Device","ADL"
"Comment","Endurance",,,"Session",""
"Log Date","13.08.2015",,,"Origin Time","196,917","s"
"Log Time","15:55:26",,,"Start Time","196,920","s"
"Sample Rate","5,000","Hz",,"End Time","1862,020","s"
"Duration","1665,100","s",,"Start Distance","2475","m"
"Range","No Lap (selection)",,,"End Distance","26171","m"


"Time","GPS Latitude","GPS Longitude","GPS Altitude","GPS Sats Used"
"s","deg","deg","m",""


"0,000","47,2208133","14,7621433","682,1","9"
"0,200","47,2208133","14,7621433","682,1","9"
"0,400","47,2208133","14,7621433","682,1","9"
"0,600","47,2208133","14,7621433","682,1","9"
"0,800","47,2208133","14,7621450","682,1","8"
"1,000","47,2208133","14,7621450","682,2","8"
"1,200","47,2208133","14,7621450","682,2","8"
"1,400","47,2208133","14,7621450","682,2","8"
"1,600","47,2208116","14,7621450","682,2","8"
"1,800","47,2208116","14,7621450","682,2","8"
"2,000","47,2208116","14,7621450","682,2","8"
"2,200","47,2208116","14,7621450","682,2","8"
"2,400","47,2208124","14,7621450","682,2","8"
"2,600","47,2208141","14,7621466","682,2","9"
"2,800","47,2208183","14,7621517","682,2","9"
"3,000","47,2208249","14,7621583","682,2","8"
"3,200","47,2208341","14,7621675","682,2","9"
"3,400","47,2208466","14,7621758","682,2","9"
"3,600","47,2208624","14,7621833","682,2","9"
"3,800","47,2208808","14,7621891","682,2","9"
"4,000","47,2209000","14,7621908","682,2","8"
"4,200","47,2209233","14,7621867","682,2","8"
"4,400","47,2209499","14,7621758","682,2","8"
"4,600","47,2209749","14,7621575","682,2","9"
"4,800","47,2209991","14,7621325","682,2","9"
"5,000","47,2210216","14,7621017","682,2","9"
"5,200","47,2210416","14,7620633","682,3","9"
"5,400","47,2210624","14,7620233","682,4","9"
"5,600","47,2210858","14,7619808","682,5","9"
"5,800","47,2211074","14,7619424","682,7","9"
"6,000","47,2211266","14,7619083","682,9","9"
"6,200","47,2211442","14,7618775","683,0","9"
"6,400","47,2211608","14,7618458","683,0","9"
"6,600","47,2211766","14,7618133","683,0","9"
"6,800","47,2211875","14,7617783","683,0","9"
"7,000","47,2211916","14,7617425","683,0","9"
"7,200","47,2211899","14,7617075","683,1","9"
"7,400","47,2211816","14,7616766","683,2","9"
"7,600","47,2211683","14,7616475","683,3","9"
"7,800","47,2211508","14,7616208","683,2","9"
"8,000","47,2211316","14,7616000","683,2","9"
"8,200","47,2211083","14,7615824","683,2","9"
"8,400","47,2210833","14,7615650","683,1","9"
"8,600","47,2210558","14,7615425","683,1","9"
"8,800","47,2210258","14,7615166","683,0","9"
