"Format","MoTeC CSV File",,,"Workbook","GPS"
"Venue","Endurance_FSA2015",,,"Worksheet","Worksheet (1)"
"Vehicle","GFR15e",,,"Vehicle Desc",""
"Driver","Tim Fritz",,,"Engine ID",""
"Device","ADL"
"Comment","Endurance",,,"Session",""
"Log Date","13.08.2015",,,"Origin Time","6,049","s"
"Log Time","15:55:26",,,"Start Time","6,050","s"
"Sample Rate","25,000","Hz",,"End Time","942,370","s"
"Duration","936,320","s",,"Start Distance","411","m"
"Range","No Lap (selection)",,,"End Distance","14319","m"


"Time","Giga DrivenDistance [m]","Giga VehicleSpeed [km/h]"
"s","m","km/h"


"0,000","41","0,0"
"0,040","41","0,0"
"0,080","41","0,0"
"0,120","41","0,0"
"0,160","41","0,0"
"0,200","41","0,0"
"0,240","41","0,0"
"0,280","41","0,0"
"0,320","41","0,0"
"0,360","41","0,0"
"0,400","41","0,0"
"0,440","41","0,0"
"0,480","41","0,0"
"0,520","41","0,0"
"0,560","41","0,0"
"0,600","41","0,0"
"0,640","41","0,0"
"0,680","41","0,0"
"0,720","41","0,0"
"0,760","41","0,0"
"0,800","41","0,0"
"0,840","41","0,0"
"0,880","41","0,0"
"0,920","41","0,0"
"0,960","41","0,0"
"1,000","41","0,0"
"1,040","41","0,0"
"1,080","41","0,0"
"1,120","41","0,0"
"1,160","41","0,0"
"1,200","41","0,0"
"1,240","41","0,0"
"1,280","41","0,0"
"1,320","41","0,0"
"1,360","41","0,0"
"1,400","41","0,0"
"1,440","41","0,0"
"1,480","41","0,0"
"1,520","41","0,0"
"1,560","41","0,0"
"1,600","41","0,0"
"1,640","41","0,0"
"1,680","41","0,0"
"1,720","41","0,0"
"1,760","41","0,0"
"1,800","41","0,0"
"1,840","41","0,0"
"1,880","41","0,0"
"1,920","41","0,0"
"1,960","41","0,0"
"2,000","41","0,0"
"2,040","41","0,0"
"2,080","41","0,0"
"2,120","41","0,0"
"2,160","41","0,0"
"2,200","41","0,0"
"2,240","41","0,0"
"2,280","41","0,0"
"2,320","41","0,0"
"2,360","41","0,0"
"2,400","41","0,0"
"2,440","41","0,0"
"2,480","41","0,0"
"2,520","41","0,0"
"2,560","41","0,0"
"2,600","41","0,0"
"2,640","41","0,0"
"2,680","41","0,0"
"2,720","41","0,0"
"2,760","41","0,0"
"2,800","41","0,0"
"2,840","41","0,0"
"2,880","41","0,0"
"2,920","41","0,0"
"2,960","41","75,0"
"3,000","42","75,0"
"3,040","43","75,0"
"3,080","44","75,0"
"3,120","44","75,0"
"3,160","45","75,0"
"3,200","46","75,0"
"3,240","47","75,0"
"3,280","48","75,0"
"3,320","48","75,0"
"3,360","49","75,0"
"3,400","50","75,0"
"3,440","51","75,0"
"3,480","52","75,0"
"3,520","52","75,0"
"3,560","53","75,0"
"3,600","54","75,0"
"3,640","55","75,0"
"3,680","56","75,0"
"3,720","56","75,0"
"3,760","57","75,0"
"3,800","58","75,0"
"3,840","59","75,0"
"3,880","60","75,0"
"3,920","60","75,0"
"3,960","61","75,0"
"4,000","63","75,0"
"4,040","64","75,0"
"4,080","65","75,0"
"4,120","65","75,0"
"4,160","66","75,0"
"4,200","67","75,0"
"4,240","68","75,0"
"4,280","69","75,0"
"4,320","69","75,0"
"4,360","70","75,0"
"4,400","71","75,0"
"4,440","72","75,0"
"4,480","73","75,0"
"4,520","73","75,0"
"4,560","74","75,0"
"4,600","75","75,0"
"4,640","76","75,0"
"4,680","77","75,0"
"4,720","77","75,0"
"4,760","78","75,0"
"4,800","79","75,0"
"4,840","80","75,0"
"4,880","81","75,0"
"4,920","81","75,0"
"4,960","82","0,0"
"5,000","82","0,0"
"5,040","82","0,0"
"5,080","82","0,0"
"5,120","82","0,0"
"5,160","82","0,0"
"5,200","82","0,0"
"5,240","82","0,0"
"5,280","82","0,0"
"5,320","82","0,0"
"5,360","82","0,0"
"5,400","82","0,0"
"5,440","82","0,0"
"5,480","82","0,0"
"5,520","82","0,0"
"5,560","82","0,0"
"5,600","82","0,0"
"5,640","82","0,0"
"5,680","82","0,0"
"5,720","82","0,0"
"5,760","82","0,0"
"5,800","82","0,0"
"5,840","82","0,0"
"5,880","82","0,0"
"5,920","82","0,0"
"5,960","82","0,0"
"6,000","82","0,0"
"6,040","82","0,0"
"6,080","82","0,0"
"6,120","82","0,0"
"6,160","82","0,0"
"6,200","82","0,0"
"6,240","82","0,0"
"6,280","82","0,0"
"6,320","83","75,0"
"6,360","83","75,0"
