"Format","MoTeC CSV File",,,"Workbook","GPS"
"Venue","Endurance_FSG2015",,,"Worksheet","Worksheet (1)"
"Vehicle","GFR15e",,,"Vehicle Desc",""
"Driver","Tim Fritz",,,"Engine ID",""
"Device","ADL"
"Comment","Endurance",,,"Session",""
"Log Date","04.08.2015",,,"Origin Time","1427,003","s"
"Log Time","19:35:30",,,"Start Time","1427,020","s"
"Sample Rate","5,000","Hz",,"End Time","3133,870","s"
"Duration","1706,850","s",,"Start Distance","5743","m"
"Range","Out Lap (selection)",,,"End Distance","27885","m"


"Time","GPS Latitude","GPS Longitude","GPS Altitude","GPS Sats Used"
"s","deg","deg","m",""


"0,000","49,3307266","8,5670683","98,7","10"
"0,200","49,3307266","8,5670683","98,7","10"
"0,400","49,3307266","8,5670683","98,7","10"
"0,600","49,3307266","8,5670700","98,7","10"
"0,800","49,3307266","8,5670700","98,7","10"
"1,000","49,3307266","8,5670700","98,7","10"
"1,200","49,3307266","8,5670700","98,7","10"
"1,400","49,3307266","8,5670700","98,7","10"
"1,600","49,3307266","8,5670700","98,7","10"
"1,800","49,3307266","8,5670700","98,7","10"
"2,000","49,3307266","8,5670700","98,7","10"
"2,200","49,3307266","8,5670700","98,7","10"
"2,400","49,3307266","8,5670700","98,7","10"
"2,600","49,3307266","8,5670700","98,7","10"
"2,800","49,3307266","8,5670700","98,7","10"
"3,000","49,3307266","8,5670700","98,7","10"
"3,200","49,3307266","8,5670700","98,7","10"
"3,400","49,3307266","8,5670700","98,7","10"
"3,600","49,3307266","8,5670700","98,7","10"
"3,800","49,3307266","8,5670700","98,7","10"
"4,000","49,3307266","8,5670700","98,7","10"
"4,200","49,3307266","8,5670700","98,7","10"
"4,400","49,3307266","8,5670700","98,7","10"
"4,600","49,3307266","8,5670700","98,7","10"
"4,800","49,3307266","8,5670700","98,7","10"
"5,000","49,3307266","8,5670700","98,6","10"
"5,200","49,3307266","8,5670700","98,6","10"
"5,400","49,3307266","8,5670700","98,6","10"
"5,600","49,3307266","8,5670700","98,6","10"
"5,800","49,3307266","8,5670700","98,6","10"
"6,000","49,3307266","8,5670700","98,6","10"
"6,200","49,3307266","8,5670700","98,6","10"
"6,400","49,3307266","8,5670700","98,6","10"
"6,600","49,3307266","8,5670700","98,6","10"
"6,800","49,3307266","8,5670700","98,6","10"
"7,000","49,3307266","8,5670700","98,6","10"
"7,200","49,3307266","8,5670700","98,6","10"
"7,400","49,3307266","8,5670700","98,6","10"
"7,600","49,3307266","8,5670700","98,6","10"
"7,800","49,3307266","8,5670700","98,6","10"
"8,000","49,3307266","8,5670700","98,6","10"
"8,200","49,3307266","8,5670700","98,6","10"
"8,400","49,3307266","8,5670700","98,6","10"
"8,600","49,3307266","8,5670700","98,6","10"
