RPM,Torque
0,39.5
100,39.5
200,39.5
300,39.5
400,39.5
500,39.5
600,39.5
700,39.5
800,39.5
900,39.5
1000,39.5
1100,39.5
1200,39.5
1300,39.5
1400,39.5
1500,39.5
1600,39.5
1700,39.5
1800,39.5
1900,39.5
2000,39.5
2100,39.5
2200,39.5
2300,39.5
2400,39.5
2500,39.5
2600,39.5
2700,39.5
2800,39.5
2900,39.5
3000,39.5
3100,39.5
3200,39.5
3300,39.5
3400,39.5
3500,39.5
3600,39.5
3700,39.5
3800,39.5
3900,39.5
4000,39.5
4100,39.5
4200,39.5
4300,39.5
4400,39.5
4500,39.5
4600,39.5
4700,39.5
4800,39.5
4900,39.5
5000,39.5
5100,39.5
5200,39.5
5300,39.5
5400,39.5
5500,39.5
5600,39.5
5700,39.5
5800,39.5
5900,39.5
6000,39.5
6100,39.5
6200,39.5
6300,39.5
6400,39.5
6500,39.5
6600,39.5
6700,39.5
6800,39.5
6900,39.5
7000,39.5
7100,39.5
7200,39.5
7300,39.5
7400,39.5
7500,39.5
7600,39.5
7700,39.5
7800,39.5
7900,39.5
8000,39.5
8100,39.5
8200,39.5
8300,39.5
8400,39.5
8500,39.5
8600,39.5
8700,39.5
8800,39.5
8900,39.5
9000,39.5
9100,39.5
9200,39.5
9300,39.5
9400,39.5
9500,39.5
9600,39.5
9700,39.5
9800,39.5
9900,39.5
10000,39.5
10100,39.5
10200,39.5
10300,39.5
10400,39.5
10500,39.5
10600,39.5
10700,39.5
10800,39.5
10900,39.5
11000,39.5
11100,39.5
11200,39.5
11300,39.5
11400,39.5
11500,39.5
11600,39.5
11700,39.5
11800,39.5
11900,39.5
12000,39.5
12100,39.5
12200,39.5
12300,39.5
12400,39.5
12500,39.5
12600,39.5
12700,39.5
12800,39.5
12900,39.5
13000,39.5
13100,39.5
13200,39.5
13300,39.5
13400,39.5
13500,39.5
13600,39.20955882
13700,38.92335766
13800,38.64130435
13900,38.36330935
14000,38.08928571
14100,37.81914894
14200,37.5528169
14300,37.29020979
14400,37.03125
14500,36.77586207
14600,36.5239726
14700,36.2755102
14800,36.03040541
14900,35.7885906
15000,35.55
15100,35.31456954
15200,35.08223684
15300,34.85294118
15400,34.62662338
15500,34.40322581
15600,34.18269231
15700,33.96496815
15800,33.75
15900,33.53773585
16000,33.328125
16100,33.12111801
16200,32.91666667
16300,32.71472393
16400,32.5152439
16500,32.31818182
16600,32.12349398
16700,31.93113772
16800,31.74107143
16900,31.55325444
17000,31.36764706
17100,31.18421053
17200,31.00290698
17300,30.82369942
17400,30.64655172
17500,30.47142857
17600,30.29829545
17700,30.12711864
17800,29.95786517
17900,29.79050279
18000,29.625
18100,29.46132597
18200,29.29945055
18300,29.13934426
18400,28.98097826
18500,28.82432432
18600,28.66935484
18700,28.51604278
18800,28.3643617
18900,28.21428571
19000,28.06578947
19100,27.91884817
19200,27.7734375
19300,27.62953368
19400,27.4871134
19500,27.34615385
19600,27.20663265
19700,27.06852792
19800,26.93181818
19900,26.79648241
20000,26.6625
20100,26.52985075
20200,26.39851485
20300,26.26847291
20400,26.13970588
20500,26.01219512
20600,25.88592233
20700,25.76086957
20800,25.63701923
20900,25.51435407
21000,25.39285714
21100,25.27251185
21200,25.15330189
21300,25.03521127
21400,24.9182243
21500,24.80232558
21600,24.6875
21700,24.57373272
21800,24.46100917
21900,24.34931507
22000,24.23863636
22100,24.12895928
22200,24.02027027
22300,23.91255605
22400,23.80580357
22500,23.7
22600,23.59513274
22700,23.49118943
22800,23.38815789
22900,23.2860262
23000,23.18478261
23100,23.08441558
23200,22.98491379
23300,22.88626609
23400,22.78846154
23500,22.69148936
23600,22.59533898
23700,22.5
23800,22.40546218
23900,22.31171548
24000,22.21875
